0:45:23.068621,7,3,39
0:45:23.076679,7,3,42
0:45:23.084616,8,3,42
0:45:23.092674,8,3,42
0:45:23.100733,6,3,42
0:45:23.108669,6,3,42
0:45:23.116728,8,2,40
0:45:23.124664,8,3,40
0:45:23.132723,7,2,42
0:45:23.140781,8,3,41
0:45:23.148718,6,3,41
0:45:23.156776,7,4,41
0:45:23.164713,7,3,41
0:45:23.172771,8,3,42
0:45:23.180830,8,2,40
0:45:23.188766,7,3,40
0:45:23.196825,8,3,42
0:45:23.204884,7,4,41
0:45:23.212820,8,3,40
0:45:23.220879,7,3,41
0:45:23.228815,8,3,41
0:45:23.236874,8,2,42
0:45:23.244932,7,3,41
0:45:23.252869,7,4,42
0:45:23.260927,8,4,42
0:45:23.268986,6,4,42
0:45:23.276922,7,3,42
0:45:23.284981,8,4,40
0:45:23.292919,7,4,41
0:45:23.300978,8,3,41
0:45:23.309036,7,3,41
0:45:23.316973,6,3,41
0:45:23.325031,7,2,43
0:45:23.332968,9,3,41
0:45:23.341026,8,3,42
0:45:23.349085,9,3,42
0:45:23.357021,9,3,41
0:45:23.365080,8,2,42
0:45:23.373138,7,3,41
0:45:23.381075,7,3,40
0:45:23.389133,8,3,42
0:45:23.397192,8,3,42
0:45:23.405128,8,3,42
0:45:23.413187,8,2,42
0:45:23.421124,8,2,42
0:45:23.429182,8,3,42
0:45:23.437241,6,4,42
0:45:23.445177,8,3,42
0:45:23.453236,7,3,42
0:45:23.461294,6,3,42
0:45:23.469231,8,4,42
0:45:23.477289,7,4,43
0:45:23.485226,6,4,41
0:45:23.493284,9,3,41
0:45:23.501343,9,4,42
0:45:23.509279,7,3,42
0:45:23.517338,7,3,41
0:45:23.525396,7,3,41
0:45:23.533333,8,3,42
0:45:23.541391,7,3,42
0:45:23.549328,8,4,41
0:45:23.557386,8,3,41
0:45:23.565445,8,4,41
0:45:23.573381,7,3,41
0:45:23.581440,7,2,40
0:45:23.589376,7,3,42
0:45:23.597435,8,3,41
0:45:23.605495,8,3,42
0:45:23.613432,8,4,42
0:45:23.621490,7,3,42
0:45:23.629549,8,3,42
0:45:23.637486,8,1,40
0:45:23.645544,7,3,41
0:45:23.653603,9,3,41
0:45:23.661539,8,4,41
0:45:23.669598,8,4,42
0:45:23.677656,7,4,42
0:45:23.685593,8,4,41
0:45:23.693651,8,3,41
0:45:23.701588,7,3,41
0:45:23.709646,9,3,40
0:45:23.717705,8,4,43
0:45:23.725641,7,3,42
0:45:23.733700,7,3,42
0:45:23.741758,8,2,42
0:45:23.749695,7,3,42
0:45:23.757753,7,4,41
0:45:23.765690,8,3,41
0:45:23.773748,8,3,41
0:45:23.781807,8,3,40
0:45:23.789743,7,3,40
0:45:23.797802,7,2,42
0:45:23.805861,7,5,41
0:45:23.813797,7,3,41
0:45:23.821856,8,3,41
0:45:23.829792,8,3,41
0:45:23.837851,7,3,40
0:45:23.845909,7,4,42
0:45:23.853846,8,3,41
0:45:23.861904,7,3,42
0:45:23.869963,9,3,41
0:45:23.877899,9,2,42
0:45:23.885958,8,3,42
0:45:23.893894,8,2,42
0:45:23.901953,9,3,42
0:45:23.910011,8,4,41
0:45:23.917950,9,3,43
0:45:23.926008,7,3,42
0:45:23.934067,8,3,41
0:45:23.942003,8,3,40
0:45:23.950062,8,2,42
0:45:23.957998,7,3,41
0:45:23.966057,8,3,41
0:45:23.974115,8,2,41
0:45:23.982052,8,4,41
0:45:23.990110,9,3,42
0:45:23.998169,8,4,43
0:45:24.005861,8,2,41
0:45:24.013920,7,3,42
0:45:24.021856,8,2,42
0:45:24.029915,8,3,41
0:45:24.037851,8,3,43
0:45:24.045910,7,3,42
0:45:24.053968,7,3,43
0:45:24.062027,7,3,41
0:45:24.069963,8,4,42
0:45:24.078022,8,4,42
0:45:24.086081,7,3,42
0:45:24.094017,8,3,43
0:45:24.102076,8,3,40
0:45:24.110012,7,3,41
0:45:24.118071,8,3,41
0:45:24.126129,8,4,40
0:45:24.134066,8,3,41
0:45:24.142124,7,3,42
0:45:24.150061,8,3,41
0:45:24.158119,8,4,41
0:45:24.166178,8,3,42
0:45:24.174114,8,2,42
0:45:24.182173,8,2,42
0:45:24.190231,7,2,41
0:45:24.198168,7,3,41
0:45:24.206226,8,3,43
0:45:24.214163,9,3,42
0:45:24.222221,8,2,41
0:45:24.230280,7,3,43
0:45:24.238216,8,2,42
0:45:24.246277,7,3,41
0:45:24.254335,8,3,40
0:45:24.262272,9,2,41
0:45:24.270330,8,3,41
0:45:24.277412,8,3,41
0:45:24.286325,7,3,43
0:45:24.294384,7,4,41
0:45:24.302320,9,3,40
0:45:24.310379,8,3,42
0:45:24.318438,9,3,41
0:45:24.326374,8,3,41
0:45:24.334433,8,3,41
0:45:24.342491,7,2,41
0:45:24.350428,7,4,41
0:45:24.358486,10,3,41
0:45:24.366423,8,4,42
0:45:24.374481,8,2,42
0:45:24.382906,7,3,40
0:45:24.390842,8,3,41
0:45:24.398901,6,4,42
0:45:24.406837,8,3,41
0:45:24.414896,8,3,42
0:45:24.422832,8,3,41
0:45:24.430891,7,4,41
0:45:24.438828,8,4,42
0:45:24.446886,8,3,42
0:45:24.454945,8,3,41
0:45:24.462881,7,3,42
0:45:24.470940,8,3,42
0:45:24.478876,8,3,40
0:45:24.486446,6,3,42
0:45:24.494871,8,3,44
0:45:24.502930,8,3,42
0:45:24.510866,7,2,42
0:45:24.518925,7,3,42
0:45:24.526861,8,3,40
0:45:24.534920,8,3,42
0:45:24.542858,8,4,43
0:45:24.550917,7,2,41
0:45:24.558853,8,4,41
0:45:24.566912,9,3,42
0:45:24.574848,8,4,43
0:45:24.582907,7,4,41
0:45:24.590965,7,3,40
0:45:24.598902,7,3,40
0:45:24.606960,8,3,41
0:45:24.614897,7,3,39
0:45:24.622955,8,2,41
0:45:24.630892,8,3,42
0:45:24.638950,8,2,41
0:45:24.646887,7,3,40
0:45:24.654945,8,3,42
0:45:24.663004,8,3,42
0:45:24.670940,9,3,40
0:45:24.678999,7,5,41
0:45:24.686935,7,2,42
0:45:24.694994,8,3,41
0:45:24.703053,9,2,40
0:45:24.710989,8,3,41
0:45:24.719048,8,3,43
0:45:24.727106,9,3,41
0:45:24.735043,7,3,42
0:45:24.743101,8,4,40
0:45:24.751038,7,3,42
0:45:24.759096,8,3,41
0:45:24.767155,7,3,42
0:45:24.775091,8,3,42
0:45:24.783150,8,3,41
0:45:24.791208,7,3,42
0:45:24.799145,9,3,43
0:45:24.807203,8,4,41
0:45:24.815140,7,3,42
0:45:24.823198,8,2,41
0:45:24.831257,9,2,41
0:45:24.839193,8,3,43
0:45:24.847252,8,3,41
0:45:24.855310,7,4,41
0:45:24.863247,8,4,40
0:45:24.871307,7,4,43
0:45:24.879244,7,4,43
0:45:24.887302,8,4,43
0:45:24.895361,8,3,41
0:45:24.903297,7,4,42
0:45:24.911356,7,4,42
0:45:24.919415,8,3,42
0:45:24.927351,8,2,41
0:45:24.935410,7,3,43
0:45:24.943346,6,3,42
0:45:24.951405,8,3,40
0:45:24.959463,8,3,42
0:45:24.967400,7,3,41
0:45:24.975458,8,2,41
0:45:24.983517,8,3,42
0:45:24.991453,7,3,42
0:45:24.999512,6,4,41
0:45:25.007326,7,2,43
0:45:25.015263,8,3,42
0:45:25.023321,9,3,41
0:45:25.031258,7,3,41
0:45:25.039316,8,3,42
0:45:25.046886,8,3,42
0:45:25.055311,7,2,43
0:45:25.063370,8,2,40
0:45:25.071428,7,3,40
0:45:25.079365,7,3,40
