0:45:23.065689,10,0
0:45:23.065689,13,0
0:45:23.065811,16,0
0:45:24.666544,10,-30464
0:45:24.666666,13,0
0:45:24.666666,16,-22016
0:45:26.267155,10,-30720
0:45:26.267277,13,0
0:45:26.267277,16,-22016
0:45:27.868864,10,-30208
0:45:27.868986,13,0
0:45:27.868986,16,-22016
0:45:29.468742,10,-30464
0:45:29.468742,13,0
0:45:29.468864,16,-22272
0:45:31.068377,10,-30464
0:45:31.069353,13,0
0:45:31.069475,16,-22272
0:45:32.670208,10,-30464
0:45:32.670208,13,0
0:45:32.670086,16,-22272
0:45:34.271549,10,-30464
0:45:34.271671,13,0
0:45:34.271671,16,-22272
0:45:35.872406,16,-22272
0:45:35.872528,10,-30208
0:45:35.872528,13,0
0:45:37.473015,16,-22272
0:45:37.473137,10,-30464
0:45:37.473137,13,0
0:45:39.074482,16,-22272
0:45:39.074604,10,-30208
0:45:39.074604,13,0
0:45:40.674603,16,-22784
0:45:40.675335,10,-30464
0:45:40.675335,13,0
0:45:42.275093,16,-22272
0:45:42.275948,10,-30464
0:45:42.276070,13,0
0:45:43.875946,16,-22272
0:45:43.877655,10,-30464
0:45:43.877655,13,0
0:45:45.477413,16,-22272
0:45:45.478268,10,-30208
0:45:45.478268,13,0
0:45:47.078022,16,-22272
0:45:47.078876,10,-30464
0:45:47.078876,13,0
0:45:48.678875,16,-22272
0:45:48.681320,10,-30464
0:45:48.681442,13,0
0:45:50.281075,16,-22272
0:45:50.281929,10,-30464
0:45:50.282051,13,0
0:45:51.882050,16,-22272
0:45:51.883640,10,-30464
0:45:51.883640,13,0
0:45:53.483395,16,-22528
0:45:53.484249,10,-30720
0:45:53.484249,13,0
0:45:55.084003,16,-22528
0:45:55.084858,10,-30464
0:45:55.084858,13,0
0:45:56.684860,16,-22528
0:45:56.686569,10,-30464
0:45:56.686569,13,0
0:45:59.886448,16,-22528
0:45:59.887180,10,-30464
0:45:59.887302,13,0
0:46:1.486935,16,-22784
0:46:1.487790,10,-30464
0:46:1.487912,13,0
0:46:3.087546,16,-22528
0:46:3.089255,10,-30464
0:46:3.089255,13,0
0:46:4.689255,16,-22528
0:46:6.289865,10,-30464
0:46:6.289988,13,0
0:46:7.890842,10,-30464
0:46:7.890842,13,0
0:46:9.490599,16,-22784
0:46:11.092064,16,-22528
0:46:11.092796,10,-30464
0:46:12.692796,16,-22784
0:46:12.693651,10,-30464
0:46:12.693773,13,0
0:46:14.293406,16,-22528
0:46:14.295971,10,-30464
0:46:14.295971,13,0
0:46:15.895970,16,-22784
0:46:15.896826,10,-30464
0:46:15.896826,13,0
0:46:17.498169,10,-30464
0:46:17.498291,13,0
0:46:19.097925,16,-23040
0:46:20.698778,16,-22784
0:46:20.699635,10,-30464
0:46:20.699757,13,0
0:46:22.299389,16,-22784
0:46:22.301100,13,0
0:46:25.501831,10,-30464
0:46:25.501831,13,0
0:46:27.101587,16,-22784
0:46:27.102442,10,-30464
0:46:27.102442,13,0
0:46:28.702442,16,-22784
0:46:28.704029,10,-30720
0:46:28.704029,13,0
0:46:33.504517,16,-22528
0:46:33.505371,10,-30464
0:46:33.505371,13,0
0:46:36.706837,16,-22784
0:46:38.307327,16,-22528
0:46:38.308182,10,-30208
0:46:38.308304,13,0
0:46:39.908180,16,-22528
0:46:39.910744,10,-30464
0:46:39.910744,13,0
0:46:41.511356,10,-30208
0:46:41.511356,13,0
0:46:43.111111,16,-22528
0:46:43.112820,10,-30464
0:46:43.112820,13,0
0:46:44.712822,16,-22528
0:46:44.713676,10,-30464
0:46:44.713676,13,0
0:46:46.313309,16,-22784
