0:0:4.13993,10,-3.75
0:0:4.14799,11,0.09994
0:0:4.15592,12,-0.02747
0:0:4.19670,10,0.0333
0:0:4.20476,11,0.09929
0:0:4.21270,12,-0.0206
0:0:4.25275,10,0.03346
0:0:4.25983,11,0.09915
0:0:4.26874,12,-3.57519
0:0:4.30879,10,0.0348
0:0:4.31673,11,0.0983
0:0:4.32479,12,-0.23346
0:0:4.36435,10,0.03357
0:0:4.37277,11,0.09852
0:0:4.38071,12,-0.23346
0:0:4.42076,10,0.03192
0:0:4.42882,11,0.09901
0:0:4.43675,12,-0.03204
0:0:4.47680,10,0.03309
0:0:4.48486,11,0.10071
0:0:4.49280,12,-0.01831
0:0:4.53285,10,0.01834
0:0:4.54078,11,0.10071
0:0:4.54884,12,-0.01373
0:0:4.58877,10,0.01775
0:0:4.59683,11,0.1012
0:0:4.60488,12,0.56992
0:0:4.64481,10,0.01817
0:0:4.65287,11,0.10173
0:0:4.66081,12,-0.00687
0:0:4.70085,10,0.01925
0:0:4.70879,11,0.10144
0:0:4.71685,12,0.04578
0:0:4.75690,10,0.01779
0:0:4.76484,11,0.10073
0:0:4.77289,12,-0.03204
0:0:4.81282,10,0.0177
0:0:4.82088,11,0.10049
0:0:4.82882,12,-0.01373
0:0:4.86886,10,0.01784
0:0:4.87692,11,0.10135
0:0:4.88486,12,-3.74914
0:0:4.92491,10,0.01826
0:0:4.93285,11,0.10104
0:0:4.94090,12,-3.74914
0:0:4.94884,0,-37.50916
0:0:4.98095,10,0.01815
0:0:4.98889,11,0.10099
0:0:4.99695,12,-0.06409
0:0:5.03663,10,0.01876
0:0:5.04469,11,0.0999
0:0:5.05263,12,-0.01373
0:0:5.09267,10,0.01831
0:0:5.10073,11,0.10124
0:0:5.10867,12,-3.54314
0:0:5.14872,10,0.01866
0:0:5.15665,11,0.1012
0:0:5.16471,12,-0.01373
0:0:5.20464,10,0.01882
0:0:5.21270,11,0.10036
0:0:5.22076,12,-2.41245
0:0:5.22869,0,74.99084
0:0:5.26068,10,0.01851
0:0:5.26874,11,0.10044
0:0:5.27668,12,-0.00687
0:0:5.31673,10,0.01927
0:0:5.32466,11,0.10084
0:0:5.33272,12,-0.0206
0:0:5.37277,10,0.02034
0:0:5.38071,11,0.10036
0:0:5.38877,12,-3.74456
0:0:5.39670,0,-46.74683
0:0:5.42869,10,0.01922
0:0:5.43675,11,0.10015
0:0:5.44469,12,-0.01373
0:0:5.48474,10,0.01949
0:0:5.49280,11,0.10137
