0:0:4.14151,10,-3.75
0:0:4.14957,11,0.10607
0:0:4.15751,12,-3.74914
0:0:4.16545,0,-0.00916
0:0:4.19829,10,0.03268
0:0:4.20635,11,0.10605
0:0:4.21441,12,0
0:0:4.22234,0,-0.00916
0:0:4.25433,10,0.03269
0:0:4.26239,11,0.10579
0:0:4.27033,12,-3.73541
0:0:4.27827,0,-65.63416
0:0:4.31038,10,0.03359
0:0:4.31832,11,0.10502
0:0:4.32637,12,-3.74914
0:0:4.33431,0,-0.00916
0:0:4.36642,10,0.03369
0:0:4.37436,11,0.1056
0:0:4.38242,12,-3.74228
0:0:4.42234,10,0.03219
0:0:4.43040,11,0.10537
0:0:4.43834,12,-3.74914
0:0:4.47839,10,0.033
0:0:4.48645,11,0.10503
0:0:4.49438,12,-3.74914
0:0:4.50232,0,-0.00916
0:0:4.53443,10,0.03313
0:0:4.54237,11,0.10517
0:0:4.55043,12,-3.74914
0:0:4.55836,0,-65.63416
0:0:4.58999,10,0.03309
0:0:4.59841,11,0.10567
0:0:4.60647,12,-2.41245
0:0:4.64640,10,0.03277
0:0:4.65446,11,0.10568
0:0:4.66239,12,-2.35752
0:0:4.70244,10,0.03234
0:0:4.71050,11,0.10556
0:0:4.71844,12,-0.05951
0:0:4.75849,10,0.03363
0:0:4.76642,11,0.10502
0:0:4.77448,12,-3.73541
0:0:4.78242,0,-73.83728
0:0:4.81441,10,0.03415
0:0:4.82247,11,0.10633
0:0:4.83040,12,-2.34836
0:0:4.87045,10,0.03306
0:0:4.87851,11,0.10506
0:0:4.88645,12,-2.35752
0:0:4.92650,10,0.03387
0:0:4.93443,11,0.10432
0:0:4.94249,12,-2.34836
0:0:4.98254,10,0.03368
0:0:4.99048,11,0.10534
0:0:4.99853,12,-3.74914
0:0:5.00623,0,-73.83728
0:0:5.03822,10,0.03311
0:0:5.04628,11,0.10464
0:0:5.05421,12,-0.01373
0:0:5.09426,10,0.03283
0:0:5.10232,11,0.10482
0:0:5.11026,12,0
0:0:5.15031,10,0.03335
0:0:5.15824,11,0.10529
0:0:5.16630,12,0
0:0:5.20611,10,0.03482
0:0:5.21429,11,0.10458
0:0:5.22234,12,-2.36439
0:0:5.26227,10,0.03385
0:0:5.27033,11,0.10506
0:0:5.27827,12,-0.00687
0:0:5.31832,10,0.03277
0:0:5.32637,11,0.10538
0:0:5.33431,12,-0.00687
0:0:5.37436,10,0.03302
0:0:5.38230,11,0.10519
0:0:5.39035,12,-2.49714
0:0:5.39829,0,-0.00916
0:0:5.43028,10,0.03272
0:0:5.43834,11,0.10445
0:0:5.44640,12,-2.49714
0:0:5.45433,0,-0.00916
0:0:5.48632,10,0.03336
0:0:5.49438,11,0.10461
0:0:5.50232,12,-2.49714
0:0:5.51026,0,-0.00916
0:0:5.54237,10,0.03338
0:0:5.55031,11,0.10484
0:0:5.55836,12,-2.54978
0:0:5.56630,0,-0.00916
0:0:5.59841,10,0.03344
0:0:5.60635,11,0.10489
